Projects_Score,Final_Score,Midterm_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Class
0.25680000000000014,0.3268300817075205,0.010168361393565584,0.47389477895579124,0.06341268253650734,0.7340000000000001,0
0.9646000000000001,0.566783391695848,0.28788131355225877,0.4846969393878777,0.9647929585917185,0.88,1
0.8244,0.3975320993830249,0.030671778629771662,0.7171434286857372,0.0,0.04699999999999999,0
0.10959999999999992,0.07387026846756706,0.09418236372728794,0.3620724144828966,0.3254650930186038,0.042,0
0.7486000000000002,0.36284809071202284,0.21886981163527264,0.35327065413082614,0.6797359471894382,0.643,1
0.7502000000000002,0.8959479739869933,0.8476412735455909,0.7801560312062414,0.08341668333666741,0.155,1
0.15139999999999998,0.37918959479739867,0.6162693782297051,0.14382876575315073,0.5817163432686538,0.9740000000000001,0
0.8628,0.759212939803235,0.5000833472245374,0.3516703340668135,0.5555111022204442,0.44900000000000007,1
0.027200000000000113,0.7957311989327998,0.27721286881146867,0.828365673134627,0.01880376075215051,0.414,0
0.1100000000000001,0.4077038519259628,0.9164860810135025,0.19203840768153646,0.021604320864172966,0.528,0
0.0041999999999999815,0.8217442054360515,0.38806467744624107,0.5631126225245051,0.8885777155431087,0.505,1
0.32699999999999996,0.5087543771885943,0.5034172362060345,0.3678735747149431,0.10262052410482103,0.9209999999999999,0
0.2994000000000001,0.2776388194097048,0.3288881480246708,0.5059011802360474,1.0000000000000002,0.29300000000000004,0
0.11040000000000005,0.30298482574620644,0.6629438239706618,0.6209241848369675,0.16443288657731547,0.056999999999999995,0
0.6512,0.22377855594463902,0.9951658609768297,0.8937787557511505,0.6747349469893982,0.9159999999999999,1
0.992,0.14490578622644668,0.025504250708451415,0.19223844768953802,0.9491898379675938,0.217,0
0.25280000000000014,0.06303151575787891,0.004000666777796313,0.6273254650930187,0.7345469093818764,0.531,0
0.77,0.8887777221944306,0.3642273712285382,0.3942788557711543,0.35087017403480725,0.976,1
0.9063999999999999,0.5869601467400365,0.7574595765960994,0.11702340468093642,0.20184036807361494,0.44799999999999995,1
0.8846,0.8407537101884277,0.05067511251875312,0.5591118223644731,0.8211642328465694,0.584,1
0.7864,0.1834250458562614,0.5535922653775629,0.30046009201840373,0.2574514902980596,0.971,1
0.29300000000000015,0.9019509754877437,0.29504917486247717,0.9975995199039811,0.2832566513302661,0.818,1
0.08360000000000012,0.506419876604969,0.13368894815802645,0.4060812162432488,0.9991998399679938,0.16899999999999998,0
0.05479999999999996,0.14123728530932134,0.2175362560426738,0.6289257851570316,0.4228845769153833,0.841,0
0.9984000000000002,0.30898782724695684,0.22370395065844317,0.2442488497699542,0.9901980396079217,0.691,1
0.9584000000000001,0.3093213273303319,0.586931155192532,0.4826965393078615,0.3662732546509304,0.441,1
0.7731999999999999,0.05986326496581629,0.6597766294382397,0.45369073814762984,0.8279655931186238,0.642,1
0.4112,0.23595130898782724,0.0176696116019337,0.7961592318463693,0.31206241248249644,0.738,0
0.11840000000000006,0.26563281640820413,0.24187364560760127,0.21664332866573321,0.23384676935387083,0.12300000000000001,0
0.23720000000000008,0.9946639986659995,0.43107184530755127,0.9045809161832368,0.4232846569313864,0.257,1
0.673,0.23545105886276474,0.3320553425570929,0.7915583116623324,0.700740148029606,0.19399999999999998,1
0.8300000000000001,0.23911955977988997,0.8843140523420572,0.3332666533306661,0.04320864172834571,0.841,1
0.9794,0.6870101717525428,0.7877979663277215,0.1806361272254453,0.37407481496299266,0.68,1
